Year,12 W. Europe,14 small WEC,30 W. Europe ,W. Offshoots ,7 E. Europe,F. Yugoslavia ,F. Czecho-slovakia,F. USSR ,8 L. America,15 L. America,21 Caribbean,L. America,16 E. Asia,24 Sm. E. Asia,30 E. Asia,,15 W. Asia,Asia ,3 Small Afr. ,Total Africa ,Total World
1,,,,,,,,,,,,,,,,700,,,,,
730,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,600,,,,,
1150,,,,,,,,,,,,,,,,580,,,,,
1280,,,,,,,,,,,,,,,,,,,,,
1300,,,,,,,,,,,,,,,,,,,,,
1348,,,,,,,,,,,,,,,,580,,,,,
1400,,,,,,,,,,,,,,,,,,,,,
1450,,,,,,,,,,,,,,,,610,,,,,
1500,,,,,,,,,,,,,,,,660,,,,,
1550,,,,,,,,,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,,,,,,,,
1600,,,,,,,,,,,,,,,,,,,,,
1650,,,,,,,,,,,,,,,,,,,,,
1700,,,,,,,,,,,,,,,,700,,,,,
1720,,,,,,,,,,,,,,,,,,,,,
1750,,,,,,,,,,,,,,,,,,,,,
1775,,,,,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,
1801,,,,,,,,,,,,,,,,,,,,,
1802,,,,,,,,,,,,,,,,,,,,,
1803,,,,,,,,,,,,,,,,,,,,,
1804,,,,,,,,,,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,,,
1806,,,,,,,,,,,,,,,,,,,,,
1807,,,,,,,,,,,,,,,,,,,,,
1808,,,,,,,,,,,,,,,,,,,,,
1809,,,,,,,,,,,,,,,,,,,,,
1810,,,,,,,,,,,,,,,,,,,,,
1811,,,,,,,,,,,,,,,,,,,,,
1812,,,,,,,,,,,,,,,,,,,,,
1813,,,,,,,,,,,,,,,,,,,,,
1814,,,,,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,,,,,
1816,,,,,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,,,,,,,,
1820,"1,528",956,"1,455","1,302",683,,,,639,667,636,628,588,556,556,740,672,591,,486,712
1821,,,,,,,,,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,,,,,,,,
1823,,,,,,,,,,,,,,,,,,,,,
1824,,,,,,,,,,,,,,,,,,,,,
1825,,,,,,,,,,,,,,,,,,,,,
1826,,,,,,,,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,,,,,,,,
1828,,,,,,,,,,,,,,,,,,,,,
1829,,,,,,,,,,,,,,,,,,,,,
1830,,,,"1,488",,,,,,,,,,,,,,,,,
1831,,,,,,,,,,,,,,,,,,,,,
1832,,,,,,,,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,,,,,,,,,
1834,,,,,,,,,,,,,,,,,,,,,
1835,,,,,,,,,,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,,,,,,,
1840,,,,"1,638",,,,,,,,,,,,,,,,,
1841,,,,,,,,,,,,,,,,,,,,,
1842,,,,,,,,,,,,,,,,,,,,,
1843,,,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,,,
1845,,,,,,,,,,,,,,,,,,,,,
1846,,,,,,,,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,,,,,,,,
1848,,,,,,,,,,,,,,,,,,,,,
1849,,,,,,,,,,,,,,,,,,,,,
1850,"1,719","1,273","1,627","1,801",869,,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,,,,,
1852,,,,,,,,,,,,,,,,,,,,,
1853,,,,,,,,,,,,,,,,,,,,,
1854,,,,,,,,,,,,,,,,,,,,,
1855,,,,,,,,,,,,,,,,,,,,,
1856,,,,,,,,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,,,,,,,,
1858,,,,,,,,,,,,,,,,,,,,,
1859,,,,,,,,,,,,,,,,,,,,,
1860,"1,966",,,"2,192",,,,,,,,,,,,,,,,,
1861,,,,,,,,,,,,,,,,,,,,,
1862,,,,,,,,,,,,,,,,,,,,,
1863,,,,,,,,,,,,,,,,,,,,,
1864,,,,,,,,,,,,,,,,,,,,,
1865,,,,,,,,,,,,,,,,,,,,,
1866,,,,,,,,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,,,,,,,,
1868,,,,,,,,,,,,,,,,,,,,,
1869,,,,,,,,,,,,,,,,,,,,,
1870,"2,141","1,602","2,006","2,419",953,,,,794,674,549,776,540,535,535,825,781,548,,648,884
1871,"2,168",,,"2,475",,,,,,,,,,,,,,,,,
1872,"2,231",,,"2,518",,,,,,,,,,,,,,,,,
1873,"2,220",,,"2,595",,,,,,,,,,,,,,,,,
1874,"2,338",,,"2,530",,,,,,,,,,,,,,,,,
1875,"2,369",,,"2,599",,,,,,,,,,,,,,,,,
1876,"2,309",,,"2,559",,,,,,,,,,,,,,,,,
1877,"2,318",,,"2,593",,,,,,,,,,,,,,,,,
1878,"2,334",,,"2,643",,,,,,,,,,,,,,,,,
1879,"2,276",,,"2,877",,,,,,,,,,,,,,,,,
1880,"2,344",,,"3,127",,,,,,,,,,,,,,,,,
1881,"2,403",,,"3,179",,,,,,,,,,,,,,,,,
1882,"2,449",,,"3,277",,,,,,,,,,,,,,,,,
1883,"2,489",,,"3,293",,,,,,,,,,,,,,,,,
1884,"2,489",,,"3,284",,,,,,,,,,,,,,,,,
1885,"2,492",,,"3,234",,,,865,,,,,,,,,,,,,
1886,"2,516",,,"3,253",,,,832,,,,,,,,,,,,,
1887,"2,573",,,"3,336",,,,972,,,,,,,,,,,,,
1888,"2,623",,,"3,264",,,,935,,,,,,,,,,,,,
1889,"2,673",,,"3,392",,,,870,,,,,,,,,,,,,
1890,"2,703","2,028","2,547","3,372","1,276",,,866,"1,052",,,,,,,,,,,,
1891,"2,703",,,"3,450",,,,793,,,,,,,,,,,,,
1892,"2,717",,,"3,649",,,,869,,,,,,,,,,,,,
1893,"2,752",,,"3,415",,,,984,,,,,,,,,,,,,
1894,"2,832",,,"3,277",,,,"1,119",,,,,,,,,,,,,
1895,"2,875",,,"3,554",,,,"1,036",,,,,,,,,,,,,
1896,"2,957",,,"3,438",,,,"1,141",,,,,,,,,,,,,
1897,"2,969",,,"3,675",,,,"1,122",,,,,,,,,,,,,
1898,"3,055",,,"3,710",,,,"1,151",,,,,,,,,,,,,
1899,"3,139",,,"3,963",,,,"1,222",,,,,,,,,,,,,
1900,"3,155","2,361","2,959","4,015","1,463",,,"1,196","1,181",831,845,"1,149",616,,,,,,,,
1901,"3,113",,,"4,349",,,,"1,225","1,231",,,,,,,,,,,,
1902,"3,138",,,"4,327",,,,"1,332","1,209",,,,,,,,,,,,
1903,"3,170",,,"4,455",,,,"1,240","1,271",,,,,,,,,,,,
1904,"3,208",,,"4,334",,,,"1,371","1,303",,,,,,,,,,,,
1905,"3,262",,,"4,559",,,,"1,214","1,369",,,,,,,,,,,,
1906,"3,337",,,"4,976",,,,"1,160","1,399",,,,,,,,,,,,
1907,"3,413",,,"4,970",,,,"1,114","1,425",,,,,,,,,,,,
1908,"3,373",,,"4,502",,,,"1,217","1,458",,,,,,,,,,,,
1909,"3,425",,,"4,934",,,,"1,264","1,492",,,,,,,,,,,,
1910,"3,442",,,"4,916","1,667",,,"1,348","1,531",,,,,,,,,,,,
1911,"3,548",,,"4,995",,,,"1,246","1,554",,,,,,,,,,,,
1912,"3,656",,,"5,139",,,,"1,346","1,584",,,,,,,,,,,,
1913,"3,747","2,830","3,488","5,233","1,726",,,"1,414","1,586","1,240","1,174","1,552",673,752,756,"1,213","1,133",691,,908,"1,543"
1914,"3,474","2,639",,"4,758",,,,"1,350","1,473",,,,,,,,,,,,
1915,"3,473","2,687",,"4,824",,,,"1,390","1,473",,,,,,,,,,,,
1916,"3,596","2,788",,"5,373",,,,"1,235","1,491",,,,,,,,,,,,
1917,"3,480","2,712",,"5,195",,,,"1,085","1,484",,,,,,,,,,,,
1918,"3,337","2,633",,"5,522",,,,664,"1,533",,,,,,,,,,,,
1919,"3,217","2,490",,"5,517",,,,573,"1,560",,,,,,,,,,,,
1920,"3,333","2,536",,"5,397",,,,575,"1,628",,,,,,,,,,,,
1921,"3,320","2,402","3,136","5,160",,,,526,"1,618",,,,,,,,,,,,
1922,"3,609","2,749","3,395","5,385",,,,611,"1,684",,,,,,,,,,,,
1923,"3,552","2,696","3,348","5,953",,,,704,"1,785",,,,,,,712,,,,,
1924,"3,828","2,894","3,587","6,024",,,,891,"1,822",,,,,,,846,,,,,
1925,"4,005","3,032","3,753","6,100",,,,"1,114","1,837",,,,,,,936,,,,,
1926,"4,025","3,049","3,767","6,387",,,,"1,251","1,887",,,,,,,"1,079",,,,,
1927,"4,189","3,171","3,928","6,385",,,,"1,303","1,929",,,,,,,974,,,,,
1928,"4,347","3,294","4,059","6,402",,,,"1,370","2,039",,,,,,,"1,063",,,,,
1929,"4,452","3,366","4,167","6,673","1,982",,,"1,386","2,053",,,,,,,"1,213",,,,,
1930,"4,357","3,291","4,073","6,028",,,,"1,448","1,913",,,,,,,"1,249",,,,,
1931,"4,112","3,101","3,854","5,492",,,,"1,462","1,762",,,,,,,"1,302",,,,,
1932,"3,954","3,198","3,724","4,794",,,,"1,439","1,657",,,,,,,"1,205",,,,,
1933,"4,078","3,087","3,825","4,672",,,,"1,493","1,752",,,,,,,"1,342",,,,,
1934,"4,218","3,198","3,953","5,000",,,,"1,630","1,866",,,,,,,"1,351",,,,,
1935,"4,350","3,320","4,066","5,340",,,,"1,864","1,937",,,,,,,"1,357",,,,,
1936,"4,513","3,462","4,148","6,011",,,,"1,991","2,013",,,,,,,"1,588",,,,,
1937,"4,738","3,620","4,335","6,247",,,,"2,156","2,086",,,,,,,"1,612",,,,,
1938,"4,843","3,697","4,421","5,999",,,,"2,150","2,108",,,,,,,"1,724",,,,,
1939,"5,095","3,891","4,644","6,390",,,,"2,237","2,136",,,,,,,"1,814",,,,,
1940,"4,988","3,824","4,551","6,838","1,969",,,"2,144","2,122",,,"2,042",,,,"1,675",,"1,080",,,"2,181"
1941,"5,046","3,874","4,586","7,954",,,,,"2,168",,,,,,,"1,508",,,,,
1942,"4,958","3,834","4,512","9,400",,,,,"2,116",,,,,,,"1,557",,,,,
1943,"4,929","3,832","4,487","10,971",,,,,"2,166",,,,,,,"1,398",,,,,
1944,"4,727","3,666","4,318","11,676",,,,,"2,294",,,,,,,"1,324",,,,,
1945,"4,129","3,188","3,786","11,107",,,,,"2,304",,,,,,,"1,133",,,,,
1946,"3,925","3,009","3,632","8,881",,,,"1,913","2,465",,,,,,,"1,430",,,,,
1947,"4,144","3,171","3,833","8,635",,"1,211",,"2,126","2,550",,,,,,,"1,476",,,,,
1948,"4,944","3,367","4,517","9,268",,"1,426",,"2,402","2,696",,,,,,,"1,637",,,,,
1949,"4,657","3,620","4,268","8,704",,"1,545",,"2,623","2,682",,,,,,,"1,519",,,,,
1950,"4,944","3,846","4,517","9,268","2,088","1,428",,"2,841","2,696","1,723","2,533","2,505",667,"1,385",710,"1,623","1,776",716,752,889,"2,104"
1951,"5,205","3,722","4,761","9,760","2,182","1,465",,"2,806","2,773","1,770","2,614","2,577",703,"1,410",696,"1,784","1,840",752,774,912,"2,191"
1952,"5,338","3,964","4,889","9,950","2,186","1,333",,"2,937","2,774","1,825","2,697","2,590",743,"1,467",718,"1,947","1,937",795,791,927,"2,250"
1953,"5,588","4,090","5,107","10,220","2,258","1,436",,"3,013","2,814","1,776","2,786","2,614",774,"1,468",765,"2,108","2,074",831,827,940,"2,320"
1954,"5,850","4,178","5,346","10,000","2,324","1,465",,"3,106","2,909","1,810","2,871","2,698",791,"1,489",787,"1,993","2,119",850,857,964,"2,353"
1955,"6,194","4,375","5,650","10,512","2,479","1,707",,"3,313","3,026","1,854","2,961","2,801",813,"1,510",802,"2,093","2,117",871,858,975,"2,457"
1956,"6,425","4,604","5,871","10,569","2,496","1,606",,"3,566","3,060","1,929","3,059","2,844",851,"1,535",816,"2,097","2,201",911,897,992,"2,524"
1957,"6,662","4,737","6,084","10,567","2,663","1,910",,"3,576","3,203","2,005","3,160","2,975",866,"1,561",832,"2,194","2,291",930,908,"1,005","2,567"
1958,"6,767","4,796","6,183","10,323","2,780","1,935",,"3,777","3,283","2,018","3,261","3,043",906,"1,581",847,"2,222","2,328",968,912,"1,004","2,596"
1959,"7,066","4,923","6,432","10,866","2,905","2,225",,"3,669","3,259","1,981","3,365","3,018",926,"1,603",858,"2,252","2,413",992,929,"1,035","2,665"
1960,"7,498","4,988","6,806","10,961","3,058","2,370",,"3,945","3,387","2,021","3,478","3,130",958,"1,632",865,"2,247","2,494","1,026",955,"1,055","2,764"
