"","id105599700","id105615807","id105616993","id105620706","id105622773","id105626195","id105626405","id105628430","id105630746","id105652140","frag.groups"
"precursor",1,1,1,1,2,1,1,2,2,1,1
"85.455",0.82,0,0,0,0,0,0.86,0,0,0,1
"85.56",0,0,0,0,0,0,0,0,0,1.12,1
"85.898",0,0,0,0,0,1.1,0,0,0,0,1
"86.097",4.16,16.71,7.56,1.71,39.52,1.39,10.91,13.13,25.49,5.53,2
"86.391",0.82,0,0,0,0,0,0,0,0,0,1
"87.084",0,1.29,0,0,2.71,1.06,0,1.26,0,0,2
"87.275",0,1.15,0,0,0,0,0,0,0,0,1
"87.976",0,0,0,0,1.36,0,0,0,0,0,2
"88.04",0,0,0,0,0,0,0.81,0,0,0,1
"88.45",0,1.16,0,0,0,0,0,0,0,0,1
"88.52",0,0,1.77,0,0,0,0,0,0,0,1
"88.624",0,0,0,0,0,0,0.87,0,0,0,1
"89.301",0,0,0,0.93,0,0,0,0,0,0,1
"92.248",0,0,0,0,0,0,0,0,2.47,0,2
"92.368",0,0,0,0,0,0,0,0.91,0,0,2
"92.536",0,0,1.32,0,0,0,0,0,0,0,1
"94.041",0,1.26,0,0,0,0,0,0,0,0,1
"95.586",0,0,0,0,0,0,0,0.95,0,0,2
"97.667",0,0,0,0,0,0,0,0.75,0,0,2
"98.097",0,0,0,0,0,0,0,1.11,0,0,2
"99.056",0,0,0,0,1.28,0,0,0,0,0,2
"99.133",0,0,0,0,0,1.28,0,0,0,0,1
"99.507",0.77,0,0,0,0,0,0,0,0,0,1
"100.325",0,0,1.55,0,0,0,0,0,0,0,1
"101.071",5.53,7.62,3.31,4.17,32.82,0,9.07,16.02,24.05,3.54,2
"101.422",0.77,0,0,0,0,0,0,0,0,0,1
"102.055",30.12,32.49,32.45,33.23,40.92,42.34,39.59,33.91,0,30.9,1
"102.934",0,0,0,0,0,0,0,0.84,0,0,2
"104.053",2.36,4.57,3.66,2.92,3.26,4.22,2.32,7.8,5.7,1.89,2
"105.368",0,0,0,0,0,0,0,0,0,1.34,1
"105.91",0,1.16,0,0,0,0,0,0,0,0,1
"106.459",0,0,0,0,0,0,0,0,2.4,0,2
"106.711",0,0,0,0,0,1.12,0,0,0,0,1
"107.049",0,0,0,0,0,0,0,1.16,0,0,2
"107.292",0,0,0,0,0,0,0,0,0,0.92,1
"107.41",0,1.11,0,0,0,0,0,0,0,0,1
"110.07",0,0,2.56,1.16,9.06,1.68,0,4.52,12.2,0,2
"110.339",0,0,1.44,0,0,0,0,0,0,0,1
"114.678",0,0,0,0,0,0,0,0,0,1.07,1
"114.967",0.65,0,0,0,0,0,0,0,0,0,1
"115.087",0,0,0,0,1.47,0,0,0,0,0,2
"115.244",0,0,0,0,0,0,0,0.85,0,0,2
"116.069",0,0,0,0,1.49,0,0,0,0,0,2
"116.759",0,0,0,0.88,0,0,0,0,0,0,1
"117.782",0,0,0,0,0,0,0,0.72,0,0,2
"118.027",0.66,0,0,0,0,0,0,0,0,0,1
"120.081",0,0,2.6,0,11.61,0,2.18,4.3,0,0,2
"120.148",0,0,0,0.76,0,0,0,0,0,0,1
"120.453",0,0,1.53,0,0,0,0,0,0,0,1
"121.084",0,0,0,0,0,0,0,0.79,0,0,2
"121.565",0,1.02,0,0,0,0,0,0,0,0,1
"122.286",0,1.16,0,0,0,0,0,0,0,0,1
"123.523",0,0,0,0,0,0,0,0,0,1.03,1
"123.851",0.84,0,0,0,0,0,0,0,0,0,1
"127.085",0,0,0,0.84,0,0,0,0,0,0,1
"127.418",0.75,0,0,0,0,0,0,0,0,0,1
"128.071",1.01,0,2.09,0,0,0,1.61,0.96,0,0,1
"128.711",0,0,0,0,0,0,0,0.77,0,0,2
"129.099",4.43,9.23,8.93,3.84,29.48,5.22,10.56,14.29,30.95,5.06,2
"129.1",4.43,9.23,8.93,3.84,29.48,5.22,10.56,14.29,30.95,5.06,2
"129.582",0,0,0,0,0,0,0,0,2.12,0,2
"130.082",3.46,4.18,4.89,3.48,11.64,5.26,4.66,9.4,13.75,3.38,2
"131.118",0,4.1,0,0,7.83,0,1.38,0,0,0,2
"132.436",0,0,0,0.79,0,0,0,0,0,0,1
"133.045",0,0,0,0,0,0,0,1.25,1.98,0,2
"136.076",14.53,18.72,16.16,0,65.49,15.94,17.34,45.72,64.98,0,2
"137.08",0,1.1,0,0,2.3,0,0,2.63,0,1.39,2
"138.055",0,1.56,0,0,0,0,0,0,0,1.74,1
"139.611",0,0,0,0,0,1.07,0,0,0,0,1
"141.288",0,0,0,0,0,0,0,0,0,1.01,1
"141.935",0.8,0,0,0,0,0,0,0,0,0,1
"143.106",0,0,0,0,2.8,2.03,1.61,4.43,9.05,1.98,2
"144.076",0,0,0,0,0,0,0,0,2.53,0,2
"145.108",0,0,0,0,0,1.08,0,0,0,0,1
"146.199",0,0,0,0,0,0,0,0.8,0,0,2
"146.384",0,0,0,0,0,0,0,0.8,0,0,2
"147.113",9.24,11.91,8.14,7.76,0,10.79,0,16.71,31.19,9.82,2
"147.238",0.92,0,0,0,0,0,0,0,0,0,1
"148.076",0,0,0,0,0,0,0,1.07,0,0,2
"150.06",0,0,0,0,0,0,0,0,5.05,0,2
"152.335",0,0,0,0,0,0,0,0,2.03,0,2
"153.067",0,0,0,0,2.47,0,0.97,0,0,0,2
"153.186",0,0,0,0,0,0.91,0,0,0,0,1
"153.246",0,0,0,0,0,1.1,0,0,0,0,1
"153.542",0,0,0,0,0,0,0,0,2.17,0,2
"154.584",0,0,1.65,0,0,0,0,0,0,0,1
"155.082",17.5,14.7,16.12,16.38,16.9,20.22,17.93,16.46,14.41,18.7,1
"156.066",1.25,0,0,0,0,0,0,0,0,0,1
"156.691",0,0,0,0,0,0,0,0.91,0,0,2
"156.969",0,0,0,0,0,0,0,0,2.1,0,2
"157.351",0,0,0,0,0,1.07,0,0,0,0,1
"158.092",0,0,0,0,1.97,0,1.08,1.35,0,0,2
"159.112",0,0,0,0,0,0,1.22,0,0,0,1
"159.212",0,0,0,0,1.38,0,0,0,0,0,2
"161.195",0,0,0,0.74,0,0,0,0,0,0,1
"162.367",0,0,0,0.69,0,0,0,0,0,0,1
"165.818",0,0,0,0,1.31,0,0,0,0,0,2
"169.134",0,0,0,0,0,0,0,0,0,2.44,1
"171.077",0,1.4,0,0,2.46,0,1.75,1.45,0,0,2
"171.336",0,1.07,0,0,0,0,0,0,0,0,1
"173.092",76.19,75.23,76.35,76.09,66.33,0,70.92,72.06,63.08,75.41,1
"173.238",0,0,0,0,0,0,0,0,2.33,0,2
"174.096",1.36,0,2.5,2.58,1.59,3.37,1.75,2.14,0,1.67,1
"175.119",0,0,2.19,0,7.48,0,3.01,4.42,6.67,0,2
"175.285",0,0,1.36,0,0,0,0,0,0,0,1
"177.743",0.8,0,0,0,0,0,0,0,0,0,1
"181.096",3.16,2.42,3.64,2.6,5.98,3.13,3.7,4.36,5.08,2.03,2
"183.076",3.51,3.81,4.31,3.33,2.79,5.31,2.92,0,3.48,4.19,1
"184.061",1.41,0,0,0.82,0,0,0,1.3,0,0,2
"184.492",0,0,0,0,0,1.12,0,0,0,0,1
"185.164",0,0,0,0,0,0,2.32,0,0,0,1
"185.846",0,0,0,0,0,0,1.03,0,0,0,1
"186.124",0,0,0,0,3.21,0,0,1.68,0,0,2
"187.111",0.8,0,0,0,1.56,0,0,0.97,3.86,0,2
"187.666",0,0,0,0,0,0,0,0.82,0,0,2
"189.088",0,0,0,0,3.02,0,1.93,0.88,0,0,2
"189.178",0,0,0,0,0,0,0,0,0,1.21,1
"191.085",2.7,3.51,2.17,2.57,3.13,2.91,2.99,2.77,0,2.08,1
"192.435",0,0,0,0,0,0,0,0.87,1.97,0,2
"193.793",0,0,0,0,0,0,0,0,2.29,0,2
"194.813",0,0,0,0,0,1.07,0,0,0,0,1
