type,spec,msid,m/z,zscore,ri,ai
msms,ai_devi_example,105616993,85.455,0.0,0,0
msms,ai_devi_example,105628430,85.455,0.0,0,0
msms,ai_devi_example,105626195,85.455,0.0,0,0
msms,ai_devi_example,105622773,85.455,0.0,0,0
msms,ai_devi_example,105599700,85.455,0.5,0.82,394.16
msms,ai_devi_example,105626405,85.455,0.7,0.86,843.13
msms,ai_devi_example,105615807,85.455,0.0,0,0
msms,ai_devi_example,105652140,85.455,0.0,0,0
msms,ai_devi_example,105630746,85.455,0.0,0,0
msms,ai_devi_example,105620706,85.455,0.0,0,0
msms,ai_devi_example,105616993,85.560,0.0,0,0
msms,ai_devi_example,105628430,85.560,0.0,0,0
msms,ai_devi_example,105626195,85.560,0.0,0,0
msms,ai_devi_example,105622773,85.560,0.0,0,0
msms,ai_devi_example,105599700,85.560,0.0,0,0
msms,ai_devi_example,105626405,85.560,0.0,0,0
msms,ai_devi_example,105615807,85.560,0.0,0,0
msms,ai_devi_example,105652140,85.560,1.6,1.12,5154.21
msms,ai_devi_example,105630746,85.560,0.0,0,0
msms,ai_devi_example,105620706,85.560,0.0,0,0
msms,ai_devi_example,105616993,85.898,0.0,0,0
msms,ai_devi_example,105628430,85.898,0.0,0,0
msms,ai_devi_example,105626195,85.898,1.9,1.10,11840.96
msms,ai_devi_example,105622773,85.898,0.0,0,0
msms,ai_devi_example,105599700,85.898,0.0,0,0
msms,ai_devi_example,105626405,85.898,0.0,0,0
msms,ai_devi_example,105615807,85.898,0.0,0,0
msms,ai_devi_example,105652140,85.898,0.0,0,0
msms,ai_devi_example,105630746,85.898,0.0,0,0
msms,ai_devi_example,105620706,85.898,0.0,0,0
msms,ai_devi_example,105616993,86.097,0.5,7.56,1523.00
msms,ai_devi_example,105628430,86.097,1.3,13.13,5055.80
msms,ai_devi_example,105626195,86.097,-5.6,1.39,15035.37
msms,ai_devi_example,105622773,86.097,2.7,39.52,12385.53
msms,ai_devi_example,105599700,86.097,0.1,4.16,2005.78
msms,ai_devi_example,105626405,86.097,1.8,10.91,10638.92
msms,ai_devi_example,105615807,86.097,1.9,16.71,8741.91
msms,ai_devi_example,105652140,86.097,1.3,5.53,25529.39
msms,ai_devi_example,105630746,86.097,1.6,25.49,4940.03
msms,ai_devi_example,105620706,86.097,-6.0,1.71,33580.98
msms,ai_devi_example,105616993,86.391,0.0,0,0
msms,ai_devi_example,105628430,86.391,0.0,0,0
msms,ai_devi_example,105626195,86.391,0.0,0,0
msms,ai_devi_example,105622773,86.391,0.0,0,0
msms,ai_devi_example,105599700,86.391,0.5,0.82,394.23
msms,ai_devi_example,105626405,86.391,0.0,0,0
msms,ai_devi_example,105615807,86.391,0.0,0,0
msms,ai_devi_example,105652140,86.391,0.0,0,0
msms,ai_devi_example,105630746,86.391,0.0,0,0
msms,ai_devi_example,105620706,86.391,0.0,0,0
msms,ai_devi_example,105616993,87.084,0.0,0,0
msms,ai_devi_example,105628430,87.084,0.4,1.26,485.73
msms,ai_devi_example,105626195,87.084,1.7,1.06,11435.31
msms,ai_devi_example,105622773,87.084,0.6,2.71,850.54
msms,ai_devi_example,105599700,87.084,0.0,0,0
msms,ai_devi_example,105626405,87.084,0.0,0,0
msms,ai_devi_example,105615807,87.084,0.5,1.29,673.81
msms,ai_devi_example,105652140,87.084,0.0,0,0
msms,ai_devi_example,105630746,87.084,0.0,0,0
msms,ai_devi_example,105620706,87.084,0.0,0,0
msms,ai_devi_example,105616993,87.275,0.0,0,0
msms,ai_devi_example,105628430,87.275,0.0,0,0
msms,ai_devi_example,105626195,87.275,0.0,0,0
msms,ai_devi_example,105622773,87.275,0.0,0,0
msms,ai_devi_example,105599700,87.275,0.0,0,0
msms,ai_devi_example,105626405,87.275,0.0,0,0
msms,ai_devi_example,105615807,87.275,0.6,1.15,602.76
msms,ai_devi_example,105652140,87.275,0.0,0,0
msms,ai_devi_example,105630746,87.275,0.0,0,0
msms,ai_devi_example,105620706,87.275,0.0,0,0
msms,ai_devi_example,105616993,87.976,0.0,0,0
msms,ai_devi_example,105628430,87.976,0.0,0,0
msms,ai_devi_example,105626195,87.976,0.0,0,0
msms,ai_devi_example,105622773,87.976,0.5,1.36,426.71
msms,ai_devi_example,105599700,87.976,0.0,0,0
msms,ai_devi_example,105626405,87.976,0.0,0,0
msms,ai_devi_example,105615807,87.976,0.0,0,0
msms,ai_devi_example,105652140,87.976,0.0,0,0
msms,ai_devi_example,105630746,87.976,0.0,0,0
msms,ai_devi_example,105620706,87.976,0.0,0,0
msms,ai_devi_example,105616993,88.040,0.0,0,0
msms,ai_devi_example,105628430,88.040,0.0,0,0
msms,ai_devi_example,105626195,88.040,0.0,0,0
msms,ai_devi_example,105622773,88.040,0.0,0,0
msms,ai_devi_example,105599700,88.040,0.0,0,0
msms,ai_devi_example,105626405,88.040,0.7,0.81,789.42
msms,ai_devi_example,105615807,88.040,0.0,0,0
msms,ai_devi_example,105652140,88.040,0.0,0,0
msms,ai_devi_example,105630746,88.040,0.0,0,0
msms,ai_devi_example,105620706,88.040,0.0,0,0
msms,ai_devi_example,105616993,88.450,0.0,0,0
msms,ai_devi_example,105628430,88.450,0.0,0,0
msms,ai_devi_example,105626195,88.450,0.0,0,0
msms,ai_devi_example,105622773,88.450,0.0,0,0
msms,ai_devi_example,105599700,88.450,0.0,0,0
msms,ai_devi_example,105626405,88.450,0.0,0,0
msms,ai_devi_example,105615807,88.450,0.6,1.16,609.02
msms,ai_devi_example,105652140,88.450,0.0,0,0
msms,ai_devi_example,105630746,88.450,0.0,0,0
msms,ai_devi_example,105620706,88.450,0.0,0,0
msms,ai_devi_example,105616993,88.520,0.5,1.77,356.80
msms,ai_devi_example,105628430,88.520,0.0,0,0
msms,ai_devi_example,105626195,88.520,0.0,0,0
msms,ai_devi_example,105622773,88.520,0.0,0,0
msms,ai_devi_example,105599700,88.520,0.0,0,0
msms,ai_devi_example,105626405,88.520,0.0,0,0
msms,ai_devi_example,105615807,88.520,0.0,0,0
msms,ai_devi_example,105652140,88.520,0.0,0,0
msms,ai_devi_example,105630746,88.520,0.0,0,0
msms,ai_devi_example,105620706,88.520,0.0,0,0
msms,ai_devi_example,105616993,88.624,0.0,0,0
msms,ai_devi_example,105628430,88.624,0.0,0,0
msms,ai_devi_example,105626195,88.624,0.0,0,0
msms,ai_devi_example,105622773,88.624,0.0,0,0
msms,ai_devi_example,105599700,88.624,0.0,0,0
msms,ai_devi_example,105626405,88.624,0.7,0.87,849.04
msms,ai_devi_example,105615807,88.624,0.0,0,0
msms,ai_devi_example,105652140,88.624,0.0,0,0
msms,ai_devi_example,105630746,88.624,0.0,0,0
msms,ai_devi_example,105620706,88.624,0.0,0,0
msms,ai_devi_example,105616993,89.301,0.0,0,0
msms,ai_devi_example,105628430,89.301,0.0,0,0
msms,ai_devi_example,105626195,89.301,0.0,0,0
msms,ai_devi_example,105622773,89.301,0.0,0,0
msms,ai_devi_example,105599700,89.301,0.0,0,0
msms,ai_devi_example,105626405,89.301,0.0,0,0
msms,ai_devi_example,105615807,89.301,0.0,0,0
msms,ai_devi_example,105652140,89.301,0.0,0,0
msms,ai_devi_example,105630746,89.301,0.0,0,0
msms,ai_devi_example,105620706,89.301,1.3,0.93,18377.83
msms,ai_devi_example,105616993,92.248,0.0,0,0
msms,ai_devi_example,105628430,92.248,0.0,0,0
msms,ai_devi_example,105626195,92.248,0.0,0,0
msms,ai_devi_example,105622773,92.248,0.0,0,0
msms,ai_devi_example,105599700,92.248,0.0,0,0
msms,ai_devi_example,105626405,92.248,0.0,0,0
msms,ai_devi_example,105615807,92.248,0.0,0,0
msms,ai_devi_example,105652140,92.248,0.0,0,0
msms,ai_devi_example,105630746,92.248,0.6,2.47,478.74
msms,ai_devi_example,105620706,92.248,0.0,0,0
msms,ai_devi_example,105616993,92.368,0.0,0,0
msms,ai_devi_example,105628430,92.368,0.5,0.91,352.23
msms,ai_devi_example,105626195,92.368,0.0,0,0
msms,ai_devi_example,105622773,92.368,0.0,0,0
msms,ai_devi_example,105599700,92.368,0.0,0,0
msms,ai_devi_example,105626405,92.368,0.0,0,0
msms,ai_devi_example,105615807,92.368,0.0,0,0
