row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
71687_0,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",0.0,0.0,5.00,mw,true,6286.44,35,81.67,35,3.84,35,47.58,35,58.60,35,1206.68,35,594.01,35,0.06,35,0,35,0.29,35,-2.68,35,1,35,663.46,35,1,1,3.20,35,2.03,35
71687_0,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",0.0,0.0,5.00,mw,false,4057.90,103,103.35,135,,,NaN,135,55.83,135,2243.94,135,784.68,135,1.23,135,,,0.33,103,,,1.04,135,689.33,135,,,,,2.79,135
71687_0,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",0.0,0.0,2.20,slot,true,8159.76,19,111.64,19,3.31,19,42.41,19,71.63,19,1235.09,19,599.52,19,0.32,19,0,19,0.23,19,-1.57,19,1,19,904.37,19,,,3.58,19,2.05,19
71687_0,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",0.0,0.0,2.20,slot,false,5995.73,48,126.10,65,,,50.00,65,65.25,65,2210.37,65,796.93,65,1.11,65,,,0.26,48,,,1.02,65,850.77,65,,,,,2.69,65
71687_2,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",2.0,2.2,5.00,mw,true,38450.92,73,714.63,77,2.04,77,44.72,77,116.32,77,1220.55,77,565.69,77,0.25,77,0,77,0.21,73,-1.99,77,1,77,3598.62,77,1,7,3.91,77,2.17,77
71687_2,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",2.0,2.2,5.00,mw,false,16334.62,207,225.71,254,,,NaN,254,71.27,254,2023.00,254,748.19,254,1.20,254,,,0.25,207,,,1.03,254,1175.30,254,,,,,2.66,254
71687_2,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",2.0,2.2,2.20,slot,true,49108.92,54,912.16,58,1.62,58,45.48,58,130.97,58,1215.79,58,554.61,58,0.22,58,0,58,0.21,54,-2.13,58,1,58,4481.22,58,1,7,4.02,58,2.21,58
71687_2,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",2.0,2.2,2.20,slot,false,21447.23,143,289.66,167,,,NaN,167,78.84,167,1869.34,167,688.56,167,1.01,167,,,0.24,143,,,1.04,167,1424.74,167,,,,,2.68,167
71687_4,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",4.0,4.4,5.00,mw,true,56041.13,47,1037.48,51,1.23,51,40.02,51,146,51,1194.01,51,536.27,51,0.31,51,0,51,0.19,47,-1.52,51,1,51,5077.67,51,1,6,4.29,51,2.24,51
71687_4,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",4.0,4.4,5.00,mw,false,20133.32,153,263.24,183,,,NaN,183,73.28,183,1957.77,183,763.11,183,1.12,183,,,0.24,153,,,1.03,183,1291.49,183,,,,,2.56,183
