row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
73255_0,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",0.0,0.0,5.00,mw,true,81543.87,84,461.98,88,1.74,88,NaN,88,162.86,88,1350.07,88,613.97,88,0.22,88,0,88,0.31,84,1.42,88,1.08,88,4705.53,88,1.33,15,4.26,88,2.23,88
73255_0,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",0.0,0.0,5.00,mw,false,49987.55,198,531.32,220,,,NaN,220,113.41,220,1940.29,220,708.21,220,0.77,220,,,0.30,198,,,1.05,220,3100.96,220,,,,,2.73,220
73255_0,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",0.0,0.0,2.40,slot,true,18861.72,38,354.99,40,2.13,40,NaN,40,144.50,40,1331.50,40,621.06,40,0.30,40,0,40,0.35,38,1.28,40,1.08,40,3031.73,40,1.50,6,4.50,40,2.18,40
73255_0,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",0.0,0.0,2.40,slot,false,6905.90,90,271.69,102,,,NaN,102,108.35,102,1807.46,102,673.90,102,0.43,102,,,0.34,90,,,1.06,102,1960.64,102,,,,,2.70,102
73255_2,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",2.0,2.4,5.00,mw,true,92595.54,102,581.20,106,1.58,106,NaN,106,199.70,106,1375.39,106,631.33,106,0.60,106,0,106,0.27,102,1.10,106,1.07,106,6942.45,106,1.33,15,4.30,106,2.21,106
73255_2,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",2.0,2.4,5.00,mw,false,48009.58,227,531.09,260,,,NaN,259,111.06,260,1953.36,260,731.15,260,1.00,259,,,0.29,227,,,1.06,260,3041.60,260,,,,,2.66,260
73255_2,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",2.0,2.4,2.40,slot,true,136375.00,64,718.30,66,1.25,66,27.58,66,233.15,66,1401.99,66,637.56,66,0.79,66,0,66,0.23,64,0.98,66,1.06,66,9312.59,66,1.22,9,4.18,66,2.23,66
73255_2,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",2.0,2.4,2.40,slot,false,79262.06,129,752.85,143,,,36.93,143,120.50,143,1973.92,143,732.04,143,1.24,143,,,0.25,129,,,1.05,143,4050.64,143,,,,,2.67,143
73255_4,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",4.0,4.8,5.00,mw,true,248735.60,29,1138.49,29,0.99,29,27.33,29,346.52,29,1501.96,29,693.76,29,1.83,29,0,29,0.11,29,0.67,29,1.03,29,16791.83,29,1,2,4.66,29,2.21,29
73255_4,2862,34908,73255,"Or2013_0430_CF_07","5 uL of analyte (Std Prep)","1.0",4.0,4.8,5.00,mw,false,65266.33,68,1047.76,82,,,NaN,81,100.63,82,2039.74,82,823.54,82,1.96,81,,,0.23,68,,,1.11,82,4749.07,82,,,,,2.43,82
