row,id,name,desc,rt.pct,rt,width,slice,stat,val
72635_0,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,0.0,0.0,5.00,mw,msms,38.0
72635_0,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,0.0,0.0,5.00,mw,apex,97570.74059999998
72635_0,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,0.0,0.0,5.00,mw,annot,11.0
72635_0,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,0.0,0.0,2.40,slot,msms,26.0
72635_0,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,0.0,0.0,2.40,slot,apex,69617.72269999998
72635_0,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,0.0,0.0,2.40,slot,annot,9.0
72635_2,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,2.0,2.4,5.00,mw,msms,91.0
72635_2,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,2.0,2.4,5.00,mw,apex,715369.8357
72635_2,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,2.0,2.4,5.00,mw,annot,26.0
72635_2,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,2.0,2.4,2.40,slot,msms,57.0
72635_2,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,2.0,2.4,2.40,slot,apex,629758.9630000001
72635_2,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,2.0,2.4,2.40,slot,annot,17.0
72635_4,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,4.0,4.8,5.00,mw,msms,81.0
72635_4,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,4.0,4.8,5.00,mw,apex,660177.2048
72635_4,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,4.0,4.8,5.00,mw,annot,17.0
72635_4,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,4.0,4.8,2.40,slot,msms,16.0
72635_4,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,4.0,4.8,2.40,slot,apex,30917.043400000006
72635_4,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,4.0,4.8,2.40,slot,annot,1.0
72635_6,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,6.0,7.2,5.00,mw,msms,188.0
72635_6,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,6.0,7.2,5.00,mw,apex,3.47518664245E7
72635_6,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,6.0,7.2,5.00,mw,annot,43.0
72635_6,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,6.0,7.2,2.40,slot,msms,73.0
72635_6,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,6.0,7.2,2.40,slot,apex,2332662.4431
72635_6,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,6.0,7.2,2.40,slot,annot,9.0
72635_8,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,8.0,9.6,5.00,mw,msms,380.0
72635_8,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,8.0,9.6,5.00,mw,apex,3.342537987586002E8
72635_8,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,8.0,9.6,5.00,mw,annot,128.0
72635_8,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,8.0,9.6,2.40,slot,msms,206.0
72635_8,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,8.0,9.6,2.40,slot,apex,1.8756459716399997E8
72635_8,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,8.0,9.6,2.40,slot,annot,78.0
72635_10,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,10.0,12.0,5.00,mw,msms,442.0
72635_10,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,10.0,12.0,5.00,mw,apex,5.0493169560000026E8
72635_10,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,10.0,12.0,5.00,mw,annot,156.0
72635_10,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,10.0,12.0,2.40,slot,msms,209.0
72635_10,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,10.0,12.0,2.40,slot,apex,2.3045587858999994E8
72635_10,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,10.0,12.0,2.40,slot,annot,74.0
72635_12,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,12.0,14.4,5.00,mw,msms,435.0
72635_12,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,12.0,14.4,5.00,mw,apex,3.2503978148000026E8
72635_12,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,12.0,14.4,5.00,mw,annot,139.0
72635_12,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,12.0,14.4,2.40,slot,msms,209.0
72635_12,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,12.0,14.4,2.40,slot,apex,1.7603896527E8
72635_12,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,12.0,14.4,2.40,slot,annot,60.0
72635_14,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,14.0,16.8,5.00,mw,msms,438.0
72635_14,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,14.0,16.8,5.00,mw,apex,2.4279557232999977E8
72635_14,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,14.0,16.8,5.00,mw,annot,125.0
72635_14,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,14.0,16.8,2.40,slot,msms,208.0
72635_14,72635,Or2013_0411_CF_07,Spit Ctrl A2:500fmol Pierce Rt Stds,14.0,16.8,2.40,slot,apex,1.0595698000000001E8
